Teams:14,Rounds:15,Total drafts:2371
Start date,June 18, 2012
End date,July 8, 2012

ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.02,1.8,Arian Foster,RB,HOU,532,8
1.03,2.9,LeSean McCoy,RB,PHI,475,7
1.04,3.5,Aaron Rodgers,QB,GB,566,10
1.04,3.7,Ray Rice,RB,BAL,482,8
1.05,5.5,Calvin Johnson,WR,DET,510,5
1.06,6.3,Ryan Mathews,RB,SD,466,7
1.07,6.8,Chris Johnson,RB,TEN,522,11
1.07,7.0,Tom Brady,QB,NE,596,9
1.08,8.3,Maurice Jones-Drew,RB,JAC,521,6
1.10,9.9,Darren McFadden,RB,OAK,588,5
1.10,10.2,Drew Brees,QB,NO,520,6
1.13,13.2,DeMarco Murray,RB,DAL,377,5
1.13,13.4,Marshawn Lynch,RB,SEA,380,11
1.14,13.7,Trent Richardson,RB,CLE,377,10
1.14,14.0,Larry Fitzgerald,WR,ARI,468,10
2.02,15.9,Adrian Peterson,RB,MIN,508,11
2.02,16.0,Matt Forte,RB,CHI,500,6
2.04,17.7,Jimmy Graham,TE,NO,445,6
2.04,18.1,Rob Gronkowski,TE,NE,577,9
2.05,18.7,Cam Newton,QB,CAR,543,6
2.05,19.0,Andre Johnson,WR,HOU,602,8
2.06,20.1,Jamaal Charles,RB,KC,568,7
2.06,20.2,Matthew Stafford,QB,DET,592,5
2.09,22.9,Steven Jackson,RB,STL,471,9
2.09,23.0,Greg Jennings,WR,GB,587,10
2.11,25.3,Fred Jackson,RB,BUF,461,8
2.12,25.6,Wes Welker,WR,NE,554,9
2.12,25.7,Brandon Marshall,WR,CHI,531,6
2.14,27.5,A.J. Green,WR,CIN,436,8
3.01,28.8,Darren Sproles,RB,NO,618,6
3.02,29.9,Roddy White,WR,ATL,507,7
3.03,30.5,Michael Turner,RB,ATL,576,7
3.03,30.9,Julio Jones,WR,ATL,523,7
3.04,32.4,Ahmad Bradshaw,RB,NYG,540,11
3.06,33.8,Victor Cruz,WR,NYG,533,11
3.07,35.0,Michael Vick,QB,PHI,500,7
3.07,35.3,Mike Wallace,WR,PIT,549,4
3.08,35.9,Dez Bryant,WR,DAL,550,5
3.10,37.9,Frank Gore,RB,SF,641,9
3.10,38.1,Hakeem Nicks,WR,NYG,516,11
3.11,38.7,Jordy Nelson,WR,GB,504,10
3.13,40.6,Doug Martin,RB,TB,518,5
3.14,42.0,Steve Smith,WR,CAR,417,6
4.03,44.8,Demaryius Thomas,WR,DEN,424,7
